time,track,range,angle,rangerate,latrate,power
22.7502219677,38,26.5,-34.3,0.01,0.0,5
22.7502219677,37,77.2,2.6,0.0,-0.5,6
22.7502219677,16,49.7,13.8,0.01,0.75,13
22.8002598286,38,26.1,-31.9,-0.01,0.0,6
22.8002598286,37,77.3,2.8,-0.01,-0.5,6
22.8002598286,16,49.7,12.9,-0.01,0.25,14
22.8502750397,38,26.4,-34.1,-0.01,0.0,5
22.8502750397,37,77.3,3.1,0.0,-0.5,7
22.8502750397,53,58.9,-12.8,-0.01,0.5,12
22.8502750397,16,49.8,13.6,-0.01,0.25,15
22.9002640247,38,26.1,-32.1,0.01,0.0,4
22.9002640247,37,77.5,2.8,-0.01,-0.5,7
22.9002640247,53,58.0,-13.0,-0.01,0.75,14
22.9002640247,16,49.7,12.6,-0.02,-0.5,15
22.9502639771,38,26.3,-33.6,-0.01,0.0,3
22.9502639771,37,77.3,3.2,-0.01,-0.25,11
22.9502639771,53,58.2,-12.8,-0.01,0.75,11
22.9502639771,16,49.8,14.5,0.01,0.5,14
23.0002579689,38,25.9,-31.1,-0.01,0.25,5
23.0002579689,37,77.5,3.3,0.01,-0.25,7
23.0002579689,16,49.6,12.9,-0.01,-0.25,14
23.050219059,38,25.9,-33.9,0.01,0.25,6
23.050219059,30,59.0,9.0,-0.01,0.0,11
23.050219059,37,77.2,3.1,-0.01,-0.25,9
23.050219059,16,49.9,13.8,-0.02,0.25,14
23.1002709866,38,26.1,-32.2,0.0,0.25,6
23.1002709866,30,58.8,10.6,-0.01,1.0,12
23.1002709866,37,77.6,3.5,-0.01,-0.25,8
23.1002709866,16,49.6,13.9,-0.01,0.5,16
23.1502459049,38,26.0,-32.6,-0.01,0.25,5
23.1502459049,37,77.3,3.2,0.01,-0.25,10
23.1502459049,53,58.4,-12.6,0.01,0.75,11
23.1502459049,16,49.9,14.6,-0.02,1.0,14
23.2002809048,38,26.1,-32.6,0.0,0.25,5
23.2002809048,37,77.6,3.4,-0.01,0.0,7
23.2002809048,53,58.6,-12.7,-0.01,0.75,12
23.2002809048,16,49.7,13.6,0.0,0.75,14
23.2502439022,42,50.0,7.4,-0.01,0.0,1
23.2502439022,38,26.3,-34.1,-0.01,0.25,5
23.2502439022,37,77.4,3.2,-0.02,0.0,5
23.2502439022,16,49.9,14.3,0.0,1.25,15
23.3002970219,38,26.0,-32.7,-0.01,0.25,6
23.3002970219,37,77.3,2.8,0.01,0.0,6
23.3002970219,53,58.4,-10.6,0.01,1.0,14
23.3002970219,16,49.7,14.9,0.0,1.75,14
23.3502969742,38,26.3,-33.7,0.01,0.0,5
23.3502969742,37,76.4,2.6,-0.01,-0.25,6
23.3502969742,16,49.9,13.2,-0.01,0.75,15
23.4002890587,38,26.0,-32.6,-0.02,0.25,4
23.4002890587,37,77.1,3.0,-0.02,-0.25,8
23.4002890587,53,58.3,-13.9,0.02,0.75,15
23.4002890587,16,49.8,13.1,-0.01,0.25,15
23.4503209591,38,25.9,-33.9,-0.01,0.0,5
23.4503209591,37,76.9,3.0,-0.01,-0.25,10
23.4503209591,53,58.3,-13.4,-0.02,0.75,13
23.4503209591,16,49.9,14.5,-0.01,0.75,15
23.500330925,38,26.0,-33.1,-0.01,0.0,7
23.500330925,37,77.1,3.3,-0.01,0.0,10
23.500330925,53,58.9,-15.6,-0.02,-1.25,11
23.500330925,16,49.6,12.7,-0.02,-0.25,14
23.550303936,38,26.3,-33.2,-0.01,0.0,5
23.550303936,37,77.0,3.2,-0.01,0.0,10
23.550303936,16,49.9,14.0,-0.01,0.0,15
23.6003580093,25,58.7,9.6,0.0,-0.25,13
23.6003580093,38,26.0,-33.0,-0.01,0.0,6
23.6003580093,37,77.5,3.2,0.01,0.0,8
23.6003580093,16,49.6,13.1,0.0,-0.5,15
23.6503129005,25,58.7,9.4,0.02,-0.75,10
23.6503129005,38,26.3,-33.7,-0.01,0.0,5
23.6503129005,37,77.1,3.1,-0.01,0.0,9
23.6503129005,16,49.9,13.4,-0.01,-0.75,14
23.7003910542,38,26.0,-32.4,-0.01,0.0,6
23.7003910542,37,77.2,3.1,0.01,0.0,9
23.7003910542,53,58.5,-11.9,0.0,-0.25,14
23.7003910542,16,49.6,13.4,0.0,-0.75,15
23.7503478527,25,59.4,9.0,0.0,-1.5,5
23.7503478527,38,26.4,-32.6,-0.02,0.0,3
23.7503478527,16,49.8,13.3,-0.01,-0.75,14
23.7503478527,37,77.2,2.9,-0.01,0.0,10
23.7503478527,53,58.7,-11.7,-0.01,0.75,12
23.7503478527,8,50.6,7.2,0.0,-1.0,3
23.8003790379,25,59.5,9.1,-0.01,-2.0,2
23.8003790379,38,26.1,-31.9,-0.02,0.25,5
23.8003790379,37,77.5,3.0,-0.01,0.0,9
23.8003790379,16,49.7,12.9,0.0,-0.75,16
23.8503508568,25,60.0,9.0,0.0,-2.25,5
23.8503508568,38,25.9,-33.7,-0.01,0.0,4
23.8503508568,37,77.1,3.4,-0.01,0.0,9
23.8503508568,16,50.0,13.1,-0.01,-0.75,15
23.9003200531,25,59.7,8.8,-0.01,-2.5,5
23.9003200531,38,26.3,-31.7,-0.01,0.25,5
23.9003200531,37,77.4,3.0,-0.01,0.0,7
23.9003200531,53,58.4,-12.3,-0.02,1.0,11
23.9003200531,16,49.6,13.4,-0.01,-0.75,14
23.9503428936,25,58.8,10.5,-0.02,-2.25,11
23.9503428936,38,26.1,-34.6,-0.01,0.0,4
23.9503428936,37,76.9,3.2,0.0,0.0,9
23.9503428936,16,49.9,13.3,-0.01,-0.75,14
24.0004148483,25,60.1,8.1,-0.03,-2.5,1
24.0004148483,38,26.0,-32.6,0.0,0.0,6
24.0004148483,37,77.6,3.2,-0.01,0.0,6
24.0004148483,16,49.6,13.4,-0.01,-0.75,15
24.0503280163,25,59.8,8.9,-0.01,-2.5,5
24.0503280163,38,26.4,-33.1,-0.01,0.0,5
24.0503280163,16,49.9,12.9,-0.01,-0.75,16
24.0503280163,37,77.8,3.4,-0.01,0.0,5
24.0503280163,53,58.7,-14.7,-0.02,-0.5,12
24.1003830433,25,59.7,8.8,0.01,-2.25,2
24.1003830433,38,25.9,-32.9,-0.01,0.0,5
24.1003830433,37,77.4,2.6,-0.02,0.0,7
24.1003830433,16,49.7,12.9,-0.01,-0.75,16
24.1503658295,38,26.2,-33.0,0.0,0.0,5
24.1503658295,37,77.4,3.5,0.0,0.0,6
24.1503658295,53,58.5,-11.0,-0.01,0.75,12
24.1503658295,16,50.0,13.1,-0.02,-0.75,15
24.2004208565,38,26.1,-33.6,-0.01,0.0,6
24.2004208565,37,77.2,3.4,-0.01,0.25,5
24.2004208565,16,49.6,12.3,0.0,-0.75,15
24.250371933,38,26.3,-33.9,-0.01,0.0,4
24.250371933,37,77.2,3.1,0.0,0.25,6
24.250371933,16,49.9,12.6,-0.01,-0.75,15
24.3004539013,25,59.9,8.7,0.02,-2.25,1
24.3004539013,38,26.1,-32.4,-0.01,0.0,5
24.3004539013,37,76.6,2.9,-0.02,0.0,6
24.3004539013,53,58.4,-13.1,0.0,0.5,13
24.3004539013,16,49.5,12.8,-0.01,-0.75,15
24.3503708839,25,58.7,11.1,-0.02,-1.75,9
24.3503708839,38,26.1,-33.9,0.01,0.0,3
24.3503708839,37,76.3,2.9,-0.06,0.0,8
24.3503708839,16,49.8,13.9,0.02,-0.75,14
24.4004328251,25,58.8,7.3,-0.01,-1.75,12
24.4004328251,38,26.1,-32.6,-0.01,0.0,6
24.4004328251,37,76.8,2.7,0.01,0.0,6
24.4004328251,16,49.7,14.1,-0.01,-0.5,15
24.4503910542,25,58.8,10.6,-0.01,-1.5,14
24.4503910542,38,26.2,-34.2,0.01,0.0,5
24.4503910542,21,41.1,19.6,-0.01,-2.0,6
24.4503910542,16,49.8,13.8,-0.01,-0.5,14
24.4503910542,37,76.7,2.8,-0.01,0.0,8
24.5004348755,25,58.7,8.8,-0.01,-1.5,12
24.5004348755,38,26.1,-32.4,0.01,0.0,3
24.5004348755,37,76.5,2.4,-0.05,-0.25,5
24.5004348755,21,41.5,21.8,0.0,-1.75,8
24.5004348755,16,49.5,13.4,0.0,-0.5,15
24.5504159927,25,60.1,9.1,-0.01,-1.5,4
24.5504159927,38,26.2,-33.9,-0.02,0.0,6
24.5504159927,21,41.4,20.3,-0.01,-2.5,5
24.5504159927,16,49.6,13.1,-0.01,-0.5,10
24.5504159927,37,76.9,2.8,-0.01,-0.25,7
24.6004319191,25,59.7,8.6,-0.02,-1.25,3
24.6004319191,38,26.0,-31.5,0.0,0.0,6
24.6004319191,21,41.3,21.9,-0.01,-1.75,4
24.6004319191,16,49.6,13.6,-0.01,-0.5,14
24.6004319191,37,77.1,3.4,-0.01,0.0,5
24.6004319191,29,72.4,3.8,-0.01,-0.5,4
24.6504650116,25,59.9,8.5,-0.01,-1.25,4
24.6504650116,38,26.0,-33.5,0.01,0.0,3
24.6504650116,16,49.9,14.3,0.01,-0.25,12
24.6504650116,37,76.7,3.6,-0.01,0.0,5
24.6504650116,29,71.9,3.9,-0.01,-0.5,5
24.6504650116,53,58.5,-11.7,0.02,1.0,12
24.700428009,25,58.9,10.8,-0.01,-1.0,13
24.700428009,38,26.0,-32.6,0.0,0.0,5
24.700428009,37,77.1,4.3,0.02,0.25,4
24.700428009,16,49.4,13.4,-0.01,-0.25,14
24.750440836,25,58.5,9.8,0.0,-1.0,10
24.750440836,38,26.3,-34.5,0.01,0.0,4
24.750440836,37,76.3,3.4,0.01,0.25,7
24.750440836,16,49.8,13.6,0.01,-0.25,12
24.8004648685,25,58.8,10.6,-0.01,-0.75,11
24.8004648685,38,26.1,-32.2,0.0,0.0,7
24.8004648685,37,76.4,4.1,-0.02,0.5,5
24.8004648685,16,49.6,14.1,-0.01,-0.25,16
24.8504619598,25,58.7,7.6,-0.02,-1.0,11
24.8504619598,38,26.5,-34.6,-0.01,-0.25,4
24.8504619598,37,75.8,4.2,-0.01,0.5,9
24.8504619598,16,49.8,13.9,-0.02,0.0,12
24.900480032,25,58.6,11.9,-0.01,-0.75,12
24.900480032,38,26.0,-33.4,-0.01,-0.25,6
24.900480032,37,75.8,3.2,0.01,0.5,6
24.900480032,16,49.5,13.4,-0.02,0.0,12
24.9505138397,25,58.7,9.3,-0.01,-0.75,12
24.9505138397,38,26.4,-34.6,0.01,-0.25,5
24.9505138397,37,76.2,4.3,0.0,0.5,10
24.9505138397,16,49.6,14.6,-0.01,0.0,11
25.000565052,25,58.6,10.1,0.01,-0.75,10
25.000565052,38,26.0,-32.8,-0.01,-0.25,6
25.000565052,37,76.2,4.4,-0.01,0.75,6
25.000565052,16,49.6,13.2,-0.01,0.0,14
25.0505099297,25,60.3,7.8,0.0,-0.75,3
25.0505099297,38,26.3,-33.9,-0.01,-0.25,4
25.0505099297,37,75.9,4.1,0.01,0.75,10
25.0505099297,16,49.9,12.3,0.01,-0.25,13
25.1004898548,38,26.0,-32.0,0.0,0.0,5
25.1004898548,37,76.2,4.1,-0.01,0.75,9
25.1004898548,16,49.6,13.0,0.0,-0.25,12
25.150482893,38,26.0,-35.2,-0.01,-0.25,5
25.150482893,37,75.8,4.2,0.01,1.0,10
25.150482893,53,58.5,-13.4,-0.02,0.0,12
25.150482893,16,49.6,13.8,0.01,0.0,12
25.2005410194,25,59.7,8.5,0.01,-0.75,2
25.2005410194,38,26.1,-33.0,-0.01,-0.25,5
25.2005410194,37,76.3,3.9,-0.01,1.0,9
25.2005410194,16,49.4,13.0,0.0,-0.25,14
25.2504649162,25,60.0,8.1,0.01,-1.0,4
25.2504649162,38,26.1,-34.1,0.01,-0.25,5
25.2504649162,37,76.4,3.8,-0.01,1.0,10
25.2504649162,16,49.9,12.7,0.01,-0.25,14
25.3005518913,25,61.2,8.3,0.01,-1.0,2
25.3005518913,38,26.0,-34.1,-0.02,-0.25,7
25.3005518913,16,49.5,12.8,-0.02,-0.25,14
25.3005518913,37,76.8,3.7,0.01,0.75,9
25.3005518913,53,58.5,-13.4,-0.02,-0.75,11
25.3504970074,25,58.8,10.5,-0.01,-0.75,13
25.3504970074,38,26.3,-33.4,0.01,-0.25,5
25.3504970074,16,49.8,13.1,-0.01,-0.25,12
25.3504970074,46,50.2,7.5,-0.01,0.5,2
25.3504970074,37,76.6,4.3,-0.01,1.0,10
25.4005420208,25,59.0,10.1,0.0,-0.75,11
25.4005420208,38,25.9,-33.0,0.0,-0.25,5
25.4005420208,37,77.0,4.1,-0.02,1.0,9
25.4005420208,16,49.5,12.5,-0.01,-0.25,14
25.4505848885,25,59.9,8.0,0.0,-0.75,2
25.4505848885,38,25.9,-34.3,-0.01,-0.25,5
25.4505848885,16,49.8,13.9,0.01,-0.25,12
25.4505848885,46,50.2,8.1,-0.01,2.0,2
25.4505848885,37,76.5,3.8,-0.01,1.0,9
25.4505848885,53,58.5,-12.5,-0.02,-0.75,10
25.5004899502,46,50.6,8.4,-0.02,3.0,1
25.5004899502,25,58.7,10.2,-0.01,-0.5,12
25.5004899502,38,25.9,-33.7,-0.01,-0.25,5
25.5004899502,37,76.6,4.3,0.01,1.0,8
25.5004899502,16,49.6,13.1,-0.01,-0.25,12
25.5504989624,46,50.1,7.3,-0.01,1.75,1
25.5504989624,38,26.2,-32.9,0.0,0.0,4
25.5504989624,37,76.8,3.6,0.0,0.75,9
25.5504989624,53,58.6,-12.8,-0.01,-0.75,12
25.5504989624,16,49.8,13.0,-0.01,-0.25,13
25.6005349159,25,58.8,9.4,-0.01,-0.5,13
